,First_pokemon,Second_pokemon,Winner,Loser,Winner Type 1,Winner Type 2,Winner Total,Loser Type 1,Loser Type 2,Loser Total,Winner stat higher than Loser,Winner Effectiveness against Loser,Winner Name
8569,793,449,793,449,rock,poison,570,ground,,330,TRUE,4,Xerneas
8570,1,385,1,385,grass,poison,318,steel,psychic,600,FALSE,2,Bulbasaur
8571,579,800,800,579,psychic,,600,psychic,,490,TRUE,0.5,Volcanion
8572,633,724,633,724,dark,dragon,300,grass,ghost,530,FALSE,0.25,Zoroark
8573,473,424,424,473,normal,,482,ice,ground,530,FALSE,1,Groudon
8574,589,269,269,589,bug,poison,385,bug,steel,495,FALSE,0.5,Mega Tyranitar
8575,229,369,369,229,water,rock,485,dark,fire,600,FALSE,0.25,Seviper
8576,36,657,657,36,water,,405,fairy,,483,FALSE,1,Joltik
8577,284,239,284,239,bug,flying,454,electric,,360,TRUE,2,Mega Swampert
8578,522,239,522,239,electric,,295,electric,,360,FALSE,0.5,Leafeon
8579,396,224,224,396,water,,480,normal,flying,245,TRUE,1,Steelix
8580,136,681,136,681,fire,,525,steel,ghost,520,TRUE,0.5,Magmar
8581,16,107,16,107,normal,flying,251,fight,,455,FALSE,1,Butterfree
8582,356,185,185,356,rock,,410,ghost,,455,FALSE,1,Chinchou
8583,406,520,406,520,grass,poison,280,normal,flying,358,FALSE,2,Luvdisc
8584,502,408,502,408,water,,413,rock,,350,TRUE,1,Skorupi
8585,378,629,629,378,dark,flying,370,ice,,580,FALSE,2,Archeops
8586,712,647,712,647,ice,,304,water,fight,580,FALSE,2,Kyurem Black Kyurem
8587,692,463,692,463,water,,330,normal,,515,FALSE,1,Mandibuzz
8588,575,665,575,665,psychic,,390,bug,,213,TRUE,2,Panpour
8589,377,120,377,120,rock,,580,water,,340,TRUE,2,Claydol
8590,299,712,712,299,ice,,304,rock,,375,FALSE,2,Kyurem Black Kyurem
8591,23,214,23,214,poison,,288,bug,fight,600,FALSE,0.25,Pidgeot
8592,547,99,547,99,grass,fairy,480,water,,475,TRUE,0.5,Cresselia
8593,421,612,612,421,dragon,,540,grass,,450,TRUE,0.5,Sandile
8594,680,92,680,92,steel,ghost,448,ghost,poison,310,TRUE,0,Stunfisk
8595,431,424,424,431,normal,,482,normal,,310,TRUE,1,Groudon
8596,288,18,288,18,normal,,440,normal,flying,579,FALSE,1,Linoone
8597,562,558,562,558,ghost,,303,bug,rock,485,FALSE,0.5,Dewott
8598,314,500,314,500,bug,,430,fire,fight,528,FALSE,1,Slaking
8599,401,179,179,401,electric,,280,bug,,194,TRUE,1,Noctowl
8600,285,185,185,285,rock,,410,grass,,295,TRUE,2,Chinchou
8601,451,502,451,502,poison,bug,330,water,,413,FALSE,1,Luxray
8602,355,603,603,355,electric,,405,ghost,,295,TRUE,1,Leavanny
8603,656,576,576,656,psychic,,490,water,,314,TRUE,1,Simipour
8604,103,159,103,159,grass,psychic,530,water,,405,TRUE,0.5,Mega Gengar
8605,703,223,703,223,rock,fairy,500,water,,300,TRUE,2,Tornadus Incarnate Forme
8606,377,31,31,377,poison,ground,505,rock,,580,FALSE,0.5,Pikachu
8607,747,318,747,318,poison,water,305,water,dark,305,FALSE,0.5,Meowstic Male
8608,15,602,602,15,electric,,275,bug,poison,495,FALSE,1,Swadloon
8609,761,8,8,761,water,,405,grass,,210,TRUE,2,Mega Charizard X
8610,7,461,7,461,water,,314,dark,ice,510,FALSE,0.5,Charizard
8611,784,509,509,784,dark,,281,dragon,fight,600,FALSE,2,Mantyke
8612,313,428,428,313,normal,,580,bug,,430,TRUE,1,Jirachi
8613,629,125,629,125,dark,flying,370,electric,,490,FALSE,2,Archeops
8614,619,377,377,619,rock,,580,fight,,350,TRUE,2,Claydol
8615,686,279,279,686,water,flying,440,dark,psychic,288,TRUE,1,Blaziken
8616,800,511,800,511,psychic,,600,grass,,316,TRUE,1,Volcanion
8617,264,403,264,403,normal,,420,electric,,263,TRUE,1,Entei
8618,38,62,62,38,water,fight,510,fire,ice,505,TRUE,0.25,Mankey
8619,454,723,723,454,grass,flying,420,poison,fight,490,FALSE,1,Braixen
8620,451,229,451,229,poison,bug,330,dark,fire,600,FALSE,2,Luxray
8621,392,454,392,454,fire,fight,534,poison,fight,490,TRUE,1,Chimecho
8622,570,689,570,689,dark,,330,rock,water,500,FALSE,1,Liepard
8623,378,743,743,378,bug,fairy,464,ice,,580,FALSE,1,Pancham
8624,39,286,286,39,grass,fight,460,normal,fairy,270,TRUE,2,Mightyena
8625,212,416,212,416,bug,steel,600,bug,flying,474,TRUE,0.5,Espeon
8626,169,461,169,461,poison,flying,535,dark,ice,510,TRUE,2,Meganium
8627,564,203,203,564,normal,psychic,455,water,rock,355,TRUE,1,Hoppip
8628,218,666,666,218,bug,flying,411,fire,,250,TRUE,2,Eelektross
8629,75,176,75,176,rock,ground,390,fairy,flying,405,FALSE,0.5,Machamp
8630,207,349,349,207,water,,200,ground,flying,430,FALSE,1,Sharpedo
8631,136,318,136,318,fire,,525,water,dark,305,TRUE,2,Magmar
8632,699,431,699,431,rock,ice,521,normal,,310,TRUE,0.5,Volcarona
8633,421,176,421,176,grass,,450,fairy,flying,405,TRUE,2,Mega Latios
8634,28,711,28,711,ground,ice,450,ghost,grass,494,FALSE,2,Fearow
8635,60,698,698,60,rock,ice,362,water,,300,TRUE,2,Larvesta
8636,471,64,64,471,psychic,,400,ice,,525,FALSE,1,Growlithe
8637,172,267,172,267,electric,,205,bug,flying,395,FALSE,0.5,Typhlosion
8638,433,344,344,433,ground,psychic,500,psychic,,285,TRUE,0.5,Illumise
8639,641,260,260,641,water,ground,635,flying,,580,TRUE,1,Magby
8640,665,437,437,665,steel,psychic,500,bug,,213,TRUE,1,Monferno
8641,93,86,93,86,ghost,poison,405,water,,325,TRUE,1,Dodrio
8642,201,671,671,201,fairy,,552,psychic,,336,TRUE,1,Chandelure
8643,203,730,730,203,water,fairy,530,normal,psychic,455,TRUE,1,Fletchling
8644,8,154,154,8,grass,,525,water,,405,TRUE,0.5,Aerodactyl
8645,469,288,288,469,normal,,440,bug,flying,515,FALSE,1,Linoone
8646,60,663,663,60,fire,flying,499,water,,300,TRUE,2,Klinklang
8647,210,797,797,210,steel,flying,570,fairy,,450,TRUE,0.5,Mega Diancie
8648,743,319,319,743,water,dark,560,bug,fairy,464,TRUE,4,Loudred
8649,71,716,71,716,grass,poison,490,fairy,,680,FALSE,0.5,Alakazam
8650,252,461,252,461,grass,,310,dark,ice,510,FALSE,2,Donphan
8651,639,227,227,639,steel,flying,465,rock,fight,580,FALSE,1,Granbull
8652,774,753,774,753,rock,flying,500,grass,,250,TRUE,1,Carbink
8653,519,473,519,473,normal,flying,264,ice,ground,530,FALSE,0,Magmortar
8654,194,288,288,194,normal,,440,water,ground,210,TRUE,1,Linoone
8655,130,69,69,130,grass,poison,300,water,flying,640,FALSE,1,Abra
8656,442,138,138,442,rock,water,355,ghost,dark,485,FALSE,1,Mega Pinsir
8657,709,650,709,650,ghost,grass,474,grass,,313,TRUE,0.5,Landorus Incarnate Forme
8658,463,136,136,463,fire,,525,normal,,515,TRUE,1,Magmar
8659,659,318,318,659,water,dark,305,normal,,237,TRUE,1,Whismur
8660,462,303,462,303,electric,steel,535,steel,fairy,480,TRUE,0.125,Mothim
8661,181,10,181,10,electric,,610,bug,,195,TRUE,1,Ledian
8662,515,684,684,515,fairy,,341,water,,316,TRUE,1,Golett
8663,221,123,123,221,bug,flying,500,ice,ground,450,TRUE,0,Tangela
8664,758,716,716,758,fairy,,680,poison,fire,480,TRUE,2,Meloetta Aria Forme
8665,43,439,43,439,grass,poison,320,psychic,fairy,310,TRUE,1,Vulpix
8666,191,268,268,191,bug,,205,grass,,180,TRUE,0.5,Tyranitar
8667,203,405,405,203,electric,,523,normal,psychic,455,TRUE,1,Relicanth
8668,231,343,343,231,ground,psychic,300,ground,,330,FALSE,1,Volbeat
8669,115,696,115,696,normal,,590,rock,dragon,362,TRUE,1,Hitmonlee
8670,300,206,206,300,normal,,415,normal,,260,TRUE,1,Aipom
8671,596,643,643,596,dragon,fire,680,bug,electric,472,TRUE,0.25,Swanna
8672,269,216,216,269,normal,,330,bug,poison,385,FALSE,1,Misdreavus
8673,31,268,31,268,poison,ground,505,bug,,205,TRUE,0.5,Pikachu
8674,184,308,184,308,water,fairy,420,fight,psychic,510,FALSE,0.5,Crobat
8675,608,224,224,608,water,,480,ghost,fire,370,TRUE,0.5,Steelix
8676,177,674,674,177,fight,,348,psychic,flying,320,TRUE,4,Haxorus
8677,96,609,609,96,ghost,fire,520,psychic,,328,TRUE,1,Petilil
8678,238,407,407,238,grass,poison,515,ice,psychic,305,TRUE,4,Bagon
8679,334,457,334,457,dragon,flying,590,water,,460,TRUE,0.5,Mega Aggron
8680,467,572,467,572,fire,,540,normal,,300,TRUE,1,Floatzel
8681,641,464,464,641,ground,rock,535,flying,,580,FALSE,0.5,Vespiquen
8682,669,194,194,669,water,ground,210,fairy,,303,FALSE,1,Mareep
8683,466,792,792,466,psychic,ghost,680,electric,,540,TRUE,1,Noivern
8684,198,147,147,198,dragon,,300,dark,flying,405,FALSE,1,Jolteon
8685,592,164,164,592,normal,flying,452,water,ghost,335,TRUE,0,Mega Mewtwo X
8686,330,768,330,768,ground,dragon,520,bug,water,530,FALSE,1,Mega Mawile
8687,476,558,476,558,rock,steel,525,bug,rock,485,TRUE,0.25,Lopunny
8688,70,160,70,160,grass,poison,390,water,,530,FALSE,0.5,Kadabra
8689,25,502,25,502,electric,,320,water,,413,FALSE,1,Rattata
8690,89,14,14,89,bug,poison,205,poison,poison,500,FALSE,0.25,Caterpie
8691,610,208,610,208,dragon,,320,steel,ground,610,FALSE,1,Lilligant
8692,219,622,219,622,fire,rock,430,ground,ghost,303,TRUE,4,Girafarig
8693,74,417,417,74,electric,,405,rock,ground,300,TRUE,2,Registeel
8694,52,284,284,52,bug,flying,454,normal,dark,290,TRUE,1,Mega Swampert
8695,585,3,3,585,grass,poison,625,normal,grass,335,TRUE,0.25,Venusaur
8696,434,542,542,434,bug,grass,500,poison,dark,329,TRUE,2,Palkia
8697,299,752,299,752,rock,,375,water,bug,454,FALSE,2,Shiftry
8698,560,65,65,560,psychic,,600,dark,fight,488,TRUE,1,Arcanine
8699,99,428,428,99,normal,,580,water,,475,TRUE,1,Jirachi
8700,120,546,546,120,grass,fairy,280,water,,340,FALSE,0.5,Giratina Origin Forme
8701,704,569,704,569,dragon,,300,poison,,474,FALSE,1,Tornadus Therian Forme
8702,622,81,622,81,ground,ghost,303,electric,steel,325,FALSE,0,Scrafty
8703,480,627,627,480,normal,flying,350,psychic,,580,FALSE,1,Carracosta
8704,771,282,771,282,water,,410,psychic,fairy,618,FALSE,1,Sylveon
8705,251,69,251,69,psychic,grass,600,grass,poison,300,TRUE,1,Phanpy
8706,388,43,388,43,grass,,405,grass,poison,320,TRUE,1,Mega Banette
8707,587,94,587,94,electric,flying,428,ghost,poison,600,FALSE,1,Woobat
8708,683,405,405,683,electric,,523,fairy,,462,TRUE,1,Relicanth
8709,376,792,792,376,psychic,ghost,680,steel,psychic,700,FALSE,0.5,Noivern
8710,562,151,562,151,ghost,,303,psychic,,600,FALSE,1,Dewott
8711,444,575,444,575,dragon,ground,410,psychic,,390,TRUE,1,Staraptor
8712,25,640,25,640,electric,,320,grass,fight,580,FALSE,1,Rattata
8713,245,452,245,452,water,,580,poison,dark,500,TRUE,1,Mantine
8714,775,7,7,775,water,,314,normal,,480,FALSE,1,Charizard
8715,286,498,498,286,fire,,308,grass,fight,460,FALSE,0.5,Lucario
8716,149,657,657,149,water,,405,dragon,flying,600,FALSE,1,Joltik
8717,134,784,134,784,water,,525,dragon,fight,600,FALSE,1,Jynx
8718,214,755,214,755,bug,fight,600,grass,fairy,285,TRUE,1,Murkrow
8719,488,304,488,304,psychic,,600,steel,rock,330,TRUE,1,Mime Jr.
8720,164,516,164,516,normal,flying,452,water,,498,FALSE,1,Mega Mewtwo X
8721,268,745,745,268,rock,,487,bug,,205,TRUE,1,Furfrou
8722,576,527,576,527,psychic,,490,psychic,flying,323,TRUE,0.5,Simipour
8723,156,185,156,185,fire,,405,rock,,410,FALSE,2,Snorlax
8724,23,79,23,79,poison,,288,water,psychic,315,FALSE,2,Pidgeot
8725,457,704,704,457,dragon,,300,water,,460,FALSE,0.5,Tornadus Therian Forme
8726,214,261,261,214,dark,,220,bug,fight,600,FALSE,4,Miltank
8727,633,769,633,769,dark,dragon,300,ghost,ground,320,FALSE,0.5,Zoroark
8728,661,387,387,661,grass,,318,normal,flying,278,TRUE,2,Banette
8729,74,113,74,113,rock,ground,300,normal,,450,FALSE,0.5,Machoke
8730,491,67,67,491,fight,,405,dark,,600,FALSE,0.5,Poliwhirl
8731,693,166,166,693,bug,flying,390,water,,500,FALSE,1,Mew
8732,248,652,248,652,rock,dark,700,grass,fight,530,TRUE,8,Houndoom
8733,75,385,75,385,rock,ground,390,steel,psychic,600,FALSE,2,Machamp
8734,67,263,263,67,normal,,240,fight,,405,FALSE,2,Raikou
8735,535,772,772,535,normal,,534,water,,294,TRUE,1,Hawlucha
8736,234,332,234,332,normal,,465,grass,dark,475,FALSE,1,Sneasel
8737,488,141,141,488,rock,water,495,psychic,,600,FALSE,1,Gyarados
8738,374,429,429,374,ghost,,495,steel,psychic,300,TRUE,1,Deoxys Normal Forme
8739,354,259,259,354,water,ground,405,ghost,,555,FALSE,1,Elekid
8740,545,541,541,545,bug,grass,380,bug,poison,485,FALSE,4,Dialga
8741,585,622,622,585,ground,ghost,303,normal,grass,335,FALSE,0,Scrafty
8742,134,92,134,92,water,,525,ghost,poison,310,TRUE,1,Jynx
8743,68,613,613,68,ice,,305,fight,,505,FALSE,2,Krokorok
8744,439,199,199,439,water,psychic,490,psychic,fairy,310,TRUE,0.5,Marill
8745,131,747,131,747,water,ice,535,poison,water,305,TRUE,0.5,Starmie
8746,756,436,756,436,grass,fairy,405,steel,psychic,300,TRUE,2,Slurpuff
8747,745,619,745,619,rock,,487,fight,,350,TRUE,2,Furfrou
8748,264,536,264,536,normal,,420,water,ground,384,TRUE,1,Entei
8749,281,731,731,281,normal,flying,265,psychic,fairy,278,FALSE,1,Fletchinder
8750,69,347,347,69,rock,bug,355,grass,poison,300,TRUE,0.5,Swalot
8751,745,43,745,43,rock,,487,grass,poison,320,TRUE,1,Furfrou
8752,601,591,591,601,grass,poison,464,steel,,520,FALSE,1,Audino
8753,199,650,650,199,grass,,313,water,psychic,490,FALSE,0.5,Karrablast
8754,616,682,682,616,fairy,,341,bug,,305,TRUE,0.5,Mienshao
8755,34,180,34,180,poison,ground,505,electric,,365,TRUE,0,Sandslash
8756,463,662,463,662,normal,,515,fire,flying,382,TRUE,1,Combee
8757,448,314,314,448,bug,,430,fight,steel,625,FALSE,0.5,Slaking
8758,510,651,651,510,grass,,405,dark,,446,FALSE,1,Escavalier
8759,762,431,431,762,normal,,310,grass,,290,TRUE,1,Deoxys Defense Forme
8760,109,567,109,567,poison,,340,rock,flying,567,FALSE,1,Voltorb
8761,68,715,715,68,flying,dragon,535,fight,,505,TRUE,0.5,Keldeo Resolute Forme
8762,417,357,357,417,grass,flying,460,electric,,405,TRUE,1,Spoink
8763,532,584,584,532,ice,,535,fight,,305,TRUE,2,Roggenrola
8764,559,567,567,559,rock,flying,567,dark,fight,348,TRUE,1,Herdier
8765,224,543,543,224,bug,poison,260,water,,480,FALSE,1,Heatran
8766,619,80,80,619,water,psychic,590,fight,,350,TRUE,0.5,Tentacruel
8767,522,27,522,27,electric,,295,ground,ice,300,FALSE,2,Leafeon
8768,249,319,249,319,psychic,flying,680,water,dark,560,TRUE,2,Mega Houndoom
8769,345,143,345,143,rock,grass,355,normal,,540,FALSE,0.5,Roselia
8770,182,82,82,182,electric,steel,465,grass,,490,FALSE,0.5,Graveler
8771,182,375,375,182,steel,psychic,420,grass,,490,FALSE,0.5,Crawdaunt
8772,143,24,24,143,poison,,448,normal,,540,FALSE,1,Mega Pidgeot
8773,511,179,179,511,electric,,280,grass,,316,FALSE,1,Noctowl
8774,389,223,223,389,water,,300,grass,ground,525,FALSE,2,Gligar
8775,774,680,774,680,rock,flying,500,steel,ghost,448,TRUE,2,Carbink
8776,509,675,509,675,dark,,281,fight,dark,495,FALSE,1,Mantyke
8777,134,342,342,134,water,dark,468,water,,525,FALSE,0.5,Minun
8778,713,317,713,317,ice,,514,poison,,467,TRUE,1,Kyurem White Kyurem
8779,265,517,265,517,bug,,195,psychic,,292,FALSE,1,Suicune
8780,516,114,114,516,grass,,435,water,,498,FALSE,0.5,Marowak
8781,459,103,103,459,grass,psychic,530,grass,ice,334,TRUE,1,Mega Gengar
8782,175,409,409,175,rock,,495,fairy,,245,TRUE,1,Salamence
8783,674,638,674,638,fight,,348,steel,fight,580,FALSE,1,Haxorus
8784,278,634,634,278,dark,dragon,420,water,flying,270,TRUE,0.5,Minccino
8785,473,719,473,719,ice,ground,530,rock,fairy,700,FALSE,1,Drifloon
8786,140,690,690,140,poison,water,320,rock,water,355,FALSE,0.5,Braviary
8787,40,41,40,41,normal,fairy,435,poison,flying,245,TRUE,2,Nidoking
8788,125,469,125,469,electric,,490,bug,flying,515,FALSE,0.5,Mega Kangaskhan
8789,210,171,171,210,water,electric,460,fairy,,450,TRUE,1,Quilava
8790,399,463,463,399,normal,,515,normal,,250,TRUE,1,Combee
8791,646,400,646,400,dragon,ice,700,normal,water,410,TRUE,0.5,Vanilluxe
8792,748,443,748,443,poison,water,495,dragon,ground,300,TRUE,2,Meowstic Female
8793,570,259,570,259,dark,,330,water,ground,405,FALSE,1,Liepard
8794,609,646,646,609,dragon,ice,700,ghost,fire,520,TRUE,1,Vanilluxe
8795,258,502,502,258,water,,413,water,,310,TRUE,0.5,Skorupi
8796,631,712,712,631,ice,,304,fire,,484,FALSE,2,Kyurem Black Kyurem
8797,297,251,251,297,psychic,grass,600,fight,,474,TRUE,0.5,Phanpy
8798,119,580,580,119,water,flying,305,water,,450,FALSE,0.5,Tranquill
8799,431,693,431,693,normal,,310,water,,500,FALSE,1,Deoxys Defense Forme
8800,434,65,65,434,psychic,,600,poison,dark,329,TRUE,2,Arcanine
8801,7,781,7,781,water,,314,ghost,grass,517,FALSE,2,Charizard
8802,580,428,428,580,normal,,580,water,flying,305,TRUE,1,Jirachi
8803,507,367,367,507,water,,485,normal,,370,TRUE,1,Mega Altaria
8804,417,202,202,417,psychic,,405,electric,,405,FALSE,1,Politoed
8805,634,76,634,76,dark,dragon,420,rock,ground,495,FALSE,1,Minccino
8806,489,388,388,489,grass,,405,water,,480,FALSE,0.5,Mega Banette
8807,624,443,443,624,dragon,ground,300,dark,steel,340,FALSE,1,Staravia
8808,555,45,555,45,fire,fire,540,grass,poison,490,TRUE,0.5,Snivy
8809,80,756,80,756,water,psychic,590,grass,fairy,405,TRUE,2,Tentacruel
8810,74,408,408,74,rock,,350,rock,ground,300,TRUE,2,Shelgon
8811,505,173,505,173,normal,,420,fairy,,218,TRUE,1,Toxicroak
8812,261,117,261,117,dark,,220,water,,440,FALSE,1,Miltank
8813,309,725,725,309,fire,,320,electric,,295,TRUE,1,Froakie
8814,674,374,674,374,fight,,348,steel,psychic,300,TRUE,2,Haxorus
8815,337,786,786,337,psychic,fairy,570,rock,psychic,460,TRUE,0.5,Gourgeist Small Size
8816,617,181,181,617,electric,,610,bug,,495,TRUE,1,Ledian
8817,352,117,352,117,normal,,440,water,,440,FALSE,1,Wailord
8818,114,731,731,114,normal,flying,265,grass,,435,FALSE,0.5,Fletchinder
8819,749,352,352,749,normal,,440,ground,,385,TRUE,1,Wailord
8820,442,415,442,415,ghost,dark,485,bug,flying,244,TRUE,1,Starly
8821,135,24,24,135,poison,,448,electric,,525,FALSE,1,Mega Pidgeot
8822,694,149,694,149,electric,normal,289,dragon,flying,600,FALSE,0.5,Durant
8823,223,425,425,223,ghost,flying,348,water,,300,TRUE,1,Primal Groudon
8824,43,546,546,43,grass,fairy,280,grass,poison,320,FALSE,2,Giratina Origin Forme
8825,539,492,539,492,fight,,465,grass,grass,600,FALSE,1,Mesprit
8826,166,108,166,108,bug,flying,390,normal,,385,TRUE,1,Mew
8827,488,795,795,488,bug,fight,570,psychic,,600,FALSE,2,Zygarde Half Forme
8828,28,59,59,28,fire,,555,ground,ice,450,TRUE,1,Persian
8829,217,350,350,217,water,,540,normal,,500,TRUE,1,Mega Sharpedo
8830,688,411,688,411,rock,water,306,rock,steel,495,FALSE,1,Bouffalant
8831,699,455,455,699,grass,,454,rock,ice,521,FALSE,2,Rampardos
8832,754,326,326,754,psychic,,470,grass,,480,FALSE,1,Delcatty
8833,689,80,80,689,water,psychic,590,rock,water,500,TRUE,0.5,Tentacruel
8834,427,334,427,334,normal,,350,dragon,flying,590,FALSE,1,Mega Rayquaza
8835,480,266,480,266,psychic,,580,bug,,205,TRUE,2,Glameow
8836,505,711,711,505,ghost,grass,494,normal,,420,TRUE,0,Kyurem
8837,413,583,583,413,ice,,395,bug,grass,424,FALSE,1,Zebstrika
8838,494,89,494,89,psychic,fire,600,poison,poison,500,TRUE,1,Garchomp
8839,79,720,79,720,water,psychic,315,psychic,ghost,680,FALSE,1,Tentacool
8840,662,330,330,662,ground,dragon,520,fire,flying,382,TRUE,0.5,Mega Mawile
8841,532,261,261,532,dark,,220,fight,,305,FALSE,2,Miltank
8842,744,446,446,744,normal,,390,rock,,280,TRUE,1,Bibarel
8843,789,614,614,789,ice,,505,psychic,,200,TRUE,1,Krookodile
8844,447,704,704,447,dragon,,300,fight,,285,TRUE,1,Tornadus Therian Forme
8845,642,696,696,642,rock,dragon,362,electric,flying,580,FALSE,0.25,Zweilous
8846,238,792,792,238,psychic,ghost,680,ice,psychic,305,TRUE,0.5,Noivern
8847,397,724,724,397,grass,ghost,530,normal,flying,340,TRUE,0,Delphox
8848,626,49,49,626,bug,poison,450,normal,,490,FALSE,1,Oddish
8849,270,273,270,273,water,grass,220,grass,,220,FALSE,1,Lugia
8850,518,638,518,638,psychic,,487,steel,fight,580,FALSE,0.5,Electivire
8851,58,683,683,58,fairy,,462,fire,,350,TRUE,1,Druddigon
8852,273,612,273,612,grass,,220,dragon,,540,FALSE,1,Treecko
8853,607,577,607,577,ghost,fire,275,psychic,,290,FALSE,1,Cottonee
8854,27,677,677,27,psychic,,355,ground,ice,300,TRUE,1,Cryogonal
8855,408,593,408,593,rock,,350,water,ghost,480,FALSE,2,Shelgon
8856,737,700,700,737,fairy,,525,bug,electric,400,TRUE,0.5,Cobalion
8857,401,638,638,401,steel,fight,580,bug,,194,TRUE,0.25,Gothitelle
8858,256,688,688,256,rock,water,306,fire,fight,405,FALSE,0.5,Bouffalant
8859,56,296,56,296,fight,,305,fight,,237,TRUE,1,Diglett
8860,583,269,583,269,ice,,395,bug,poison,385,TRUE,1,Zebstrika
8861,10,594,10,594,bug,,195,water,,470,FALSE,1,Squirtle
8862,391,490,490,391,water,,600,fire,fight,405,TRUE,0.5,Chatot
8863,628,646,646,628,dragon,ice,700,normal,flying,510,TRUE,1,Vanilluxe
8864,525,792,792,525,psychic,ghost,680,rock,,390,TRUE,1,Noivern
8865,708,710,710,708,ghost,grass,335,ghost,grass,309,TRUE,1,Landorus Therian Forme
8866,503,623,623,503,ground,ghost,483,water,,528,FALSE,2,Sigilyph
8867,569,41,569,41,poison,,474,poison,flying,245,TRUE,0.5,Purrloin
8868,793,551,551,793,ground,dark,292,rock,poison,570,FALSE,0.25,Shaymin Land Forme
8869,514,261,261,514,dark,,220,fire,,498,FALSE,1,Miltank
8870,527,327,327,527,normal,,360,psychic,flying,323,TRUE,1,Sableye
8871,239,95,95,239,rock,ground,385,electric,,360,TRUE,0,Dewgong
8872,481,673,481,673,psychic,,580,grass,,531,TRUE,1,Purugly
8873,391,291,291,391,bug,flying,456,fire,fight,405,TRUE,0.5,Beautifly
8874,641,238,238,641,ice,psychic,305,flying,,580,FALSE,1,Magcargo
8875,408,189,408,189,rock,,350,grass,flying,460,FALSE,1,Shelgon
8876,207,780,780,207,normal,dragon,485,ground,flying,430,TRUE,1,Trevenant
8877,30,603,603,30,electric,,405,poison,,365,TRUE,1,Leavanny
8878,214,514,214,514,bug,fight,600,fire,,498,TRUE,2,Murkrow
8879,51,300,300,51,normal,,260,ground,ground,425,FALSE,1,Taillow
8880,315,503,503,315,water,,528,grass,poison,400,TRUE,2,Drapion
8881,331,100,331,100,grass,,335,electric,,330,TRUE,0.5,Aron
8882,496,420,496,420,grass,,413,grass,,275,TRUE,0.5,Munchlax
8883,142,344,344,142,ground,psychic,500,rock,flying,615,FALSE,0.5,Illumise
8884,694,56,694,56,electric,normal,289,fight,,305,FALSE,2,Durant
8885,525,778,525,778,rock,,390,ghost,fairy,476,FALSE,1,Mamoswine
8886,17,514,514,17,fire,,498,normal,flying,349,TRUE,1,Magnezone
8887,511,377,377,511,rock,,580,grass,,316,TRUE,2,Claydol
8888,293,264,264,293,normal,,420,normal,,240,TRUE,1,Entei
8889,558,695,558,695,bug,rock,485,electric,normal,481,TRUE,0.5,Tepig
8890,580,80,80,580,water,psychic,590,water,flying,305,TRUE,0.5,Tentacruel
8891,121,318,121,318,water,psychic,520,water,dark,305,TRUE,1,Rhydon
8892,64,706,706,64,dragon,,600,psychic,,400,TRUE,1,Thundurus Therian Forme
8893,233,122,233,122,normal,,515,psychic,fairy,460,TRUE,1,Mega Heracross
8894,349,428,349,428,water,,200,normal,,580,FALSE,1,Sharpedo
8895,169,212,212,169,bug,steel,600,poison,flying,535,TRUE,0,Espeon
8896,450,694,694,450,electric,normal,289,ground,,525,FALSE,2,Durant
8897,558,1,1,558,grass,poison,318,bug,rock,485,FALSE,1,Bulbasaur
8898,712,501,712,501,ice,,304,water,,308,FALSE,1,Kyurem Black Kyurem
8899,539,214,214,539,bug,fight,600,fight,,465,TRUE,0.5,Murkrow
8900,725,195,725,195,fire,,320,water,ground,430,FALSE,4,Froakie
8901,227,533,533,227,fight,,405,steel,flying,465,FALSE,2,Heat Rotom
8902,463,704,704,463,dragon,,300,normal,,515,FALSE,1,Tornadus Therian Forme
8903,222,270,270,222,water,grass,220,water,rock,410,FALSE,0.25,Lugia
8904,75,560,560,75,dark,fight,488,rock,ground,390,TRUE,0.5,Emboar
8905,567,306,306,567,steel,rock,630,rock,flying,567,TRUE,0.125,Gardevoir
8906,318,431,431,318,normal,,310,water,dark,305,TRUE,1,Deoxys Defense Forme
8907,710,771,710,771,ghost,grass,335,water,,410,FALSE,0.5,Landorus Therian Forme
8908,465,573,465,573,grass,,535,normal,,470,TRUE,1,Pachirisu
8909,721,112,721,112,fire,water,600,ground,rock,485,TRUE,4,Chesnaught
8910,119,84,84,119,normal,flying,310,water,,450,FALSE,1,Ponyta
8911,435,224,435,224,poison,dark,479,water,,480,FALSE,1,Torterra
8912,634,112,634,112,dark,dragon,420,ground,rock,485,FALSE,1,Minccino
8913,302,340,340,302,water,ground,468,dark,ghost,480,FALSE,1,Mega Manectric
8914,222,472,472,222,ground,flying,510,water,rock,410,TRUE,2,Ambipom
8915,395,206,206,395,normal,,415,water,steel,530,FALSE,1,Aipom
8916,265,376,265,376,bug,,195,steel,psychic,700,FALSE,1,Suicune
8917,610,436,610,436,dragon,,320,steel,psychic,300,TRUE,1,Lilligant
8918,340,754,340,754,water,ground,468,grass,,480,FALSE,4,Mega Manectric
8919,451,751,751,451,water,bug,269,poison,bug,330,FALSE,1,Aegislash Blade Forme
8920,468,306,306,468,steel,rock,630,fairy,flying,545,TRUE,0.125,Gardevoir
8921,764,506,764,506,fairy,,485,normal,,275,TRUE,1,Clawitzer
8922,473,276,276,473,normal,flying,270,ice,ground,530,FALSE,0,Mega Sceptile
